condition,id_fake_pct,ood_fake_pct,method,auroc_ood,fpr95_ood,auroc_fake,fpr95_fake,auroc_fake_whoops,fpr95_fake_whoops,auroc_fake_gen,fpr95_fake_gen
id00_ood00,0,0,msp,0.9697842592592593,0.03111111111111111,0.8983122222222222,1.0,0.8994460929772502,1.0,0.8959679618268576,1.0
id00_ood00,0,0,energy,0.9931792592592592,0.012222222222222223,0.97044,0.20333333333333334,0.9696702934388395,0.17,0.9720313565098841,0.21888888888888888
id00_ood00,0,0,mahalanobis,0.9888625925925926,0.015555555555555555,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id00_ood01,0,1,msp,0.9686327777777778,0.03333333333333333,0.9053088888888889,1.0,0.9071711177052423,1.0,0.9014587593728698,1.0
id00_ood01,0,1,energy,0.9932592592592593,0.014444444444444444,0.9678666666666667,0.22777777777777777,0.9683053082756347,0.22444444444444445,0.9669597818677573,0.2922222222222222
id00_ood01,0,1,mahalanobis,0.9888381481481482,0.015555555555555555,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id00_ood10,0,10,msp,0.9584103703703704,1.0,0.9020455555555555,1.0,0.9037701945268711,1.0,0.8984798909338787,1.0
id00_ood10,0,10,energy,0.9894277777777778,0.017777777777777778,0.9705688888888889,0.20555555555555555,0.9693504780745137,0.18333333333333332,0.9730879345603272,0.21
id00_ood10,0,10,mahalanobis,0.9881166666666666,0.02,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id00_ood25,0,25,msp,0.9522125925925926,1.0,0.89712,1.0,0.898954830201121,1.0,0.8933265167007498,1.0
id00_ood25,0,25,energy,0.9866951851851852,0.03222222222222222,0.9691177777777777,0.19666666666666666,0.9684371909000989,0.18888888888888888,0.9705248807089298,0.23666666666666666
id00_ood25,0,25,mahalanobis,0.9887925925925926,0.021111111111111112,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id01_ood00,1,0,msp,0.9713455555555556,0.03111111111111111,0.8981022222222222,1.0,0.9011473788328388,1.0,0.8918064076346285,1.0
id01_ood00,1,0,energy,0.9925474074074074,0.011111111111111112,0.9702733333333333,0.20777777777777778,0.9695450049455984,0.17222222222222222,0.9717791411042945,0.22333333333333333
id01_ood00,1,0,mahalanobis,0.9887733333333333,0.015555555555555555,0.9877,0.06222222222222222,0.9903956478733926,0.052222222222222225,0.9821267893660531,0.11888888888888889
id01_ood01,1,1,msp,0.9690716666666667,0.034444444444444444,0.8976255555555556,1.0,0.898603692713485,1.0,0.8956032719836401,1.0
id01_ood01,1,1,energy,0.9923970370370371,0.012222222222222223,0.9678733333333334,0.23333333333333334,0.9678832838773491,0.2288888888888889,0.9678527607361963,0.2577777777777778
id01_ood01,1,1,mahalanobis,0.9888296296296296,0.014444444444444444,0.9879155555555555,0.05444444444444444,0.9904088361358391,0.05333333333333334,0.982760736196319,0.11444444444444445
id10_ood00,10,0,msp,0.972197962962963,0.016666666666666666,0.9085088888888889,1.0,0.9083893834487307,1.0,0.9087559645535106,1.0
id10_ood00,10,0,energy,0.9927014814814815,0.014444444444444444,0.9715266666666666,0.18333333333333332,0.9701747444774151,0.16333333333333333,0.9743217450579413,0.1811111111111111
id10_ood00,10,0,mahalanobis,0.9886681481481482,0.016666666666666666,0.9865911111111111,0.07111111111111111,0.9897626112759644,0.04888888888888889,0.9800340831629175,0.1111111111111111
id10_ood10,10,10,msp,0.9559161111111111,1.0,0.9040111111111111,1.0,0.9083547642598088,1.0,0.8950306748466258,1.0
id10_ood10,10,10,energy,0.9895103703703704,0.013333333333333334,0.97066,0.15888888888888889,0.9705044510385756,0.13555555555555557,0.9709815950920245,0.23666666666666666
id10_ood10,10,10,mahalanobis,0.9883562962962963,0.02,0.98644,0.07333333333333333,0.9896834817012858,0.05555555555555555,0.9797341513292434,0.1111111111111111
id25_ood00,25,0,msp,0.97329,0.03111111111111111,0.8988133333333334,1.0,0.9001450708869106,1.0,0.8960599863667348,1.0
id25_ood00,25,0,energy,0.9920155555555555,0.01,0.9683155555555556,0.19777777777777777,0.9688229475766568,0.14888888888888888,0.967266530334015,0.2788888888888889
id25_ood00,25,0,mahalanobis,0.9878685185185185,0.016666666666666666,0.9851533333333333,0.07333333333333333,0.9889086712825585,0.058888888888888886,0.9773892297205181,0.11777777777777777
id25_ood25,25,25,msp,0.9465190740740741,1.0,0.90514,1.0,0.9082921200131883,1.0,0.8986230402181322,1.0
id25_ood25,25,25,energy,0.9871825925925926,0.034444444444444444,0.96938,0.23666666666666666,0.9689680184635674,0.2,0.9702317655078391,0.23333333333333334
id25_ood25,25,25,mahalanobis,0.9884651851851852,0.022222222222222223,0.9857977777777778,0.07777777777777778,0.9890933069568084,0.056666666666666664,0.9789843217450579,0.12
